MODEL,BRAND,PRICE,START,TYPE,FUEL,EFF,IMAGE
캐스퍼,HYUNDAI,"1,375~1,960만원",2021.09~,경차,가솔린,12.3~14.3km/ℓ,casper
더 뉴 아반떼,HYUNDAI,"1,975~3,153만원",2023.03~,준중형,"가솔린, LPG, 하이브리드",10.3~21.1km/ℓ,avante
더 뉴 아반떼 N,HYUNDAI,"3,352~3,560만원",2023.07~,준중형,가솔린,10.4~10.6km/ℓ,avante_N
쏘나타 디 엣지,HYUNDAI,"2,546~3,921만원",2023.05~,중형,"가솔린, LPG, 하이브리드",9.4~19.4km/ℓ,sonata
아이오닉 6,HYUNDAI,"5,200~6,370만원",2022.09~,중형,전기,5.5~6.2km/kWh,ioniq_6
디 올 뉴 그랜저,HYUNDAI,"3,580~5,161만원",2022.11~,준대형,"가솔린, LPG, 하이브리드",7.8~18.0km/ℓ,grandeur
베뉴,HYUNDAI,"1,642~2,413만원",2019.07~,소형SUV,가솔린,13.3~13.7km/ℓ,venue
디 올 뉴 코나,HYUNDAI,"2,486~3,495만원",2023.01~,소형SUV,"가솔린, 하이브리드",11.2~19.8km/ℓ,kona
디 올 뉴 코나 일렉트릭,HYUNDAI,"4,452~5,092만원",2023.04~,소형SUV,전기,4.8~5.5km/kWh,kona_electric
투싼,HYUNDAI,"2,603~4,000만원",2020.10~,중형SUV,"가솔린, 디젤, 하이브리드",11.0~16.2km/ℓ,tucson
더 뉴 투싼,HYUNDAI,"2,271~4,161만원",2023.12~,중형SUV,"가솔린, 디젤, 하이브리드",11.2~16.2km/ℓ,new_tucson
아이오닉 5,HYUNDAI,"4,790~6,120만원",2021.04~,중형SUV,전기,4.5~5.2km/kWh,ioniq_5
넥쏘,HYUNDAI,"7,320만원",2018.03~,중형SUV,수소,93.7~96.2km/kg,nexo
아이오닉 5 N,HYUNDAI,"7,600만원",2023.09~,중형SUV,전기,3.7km/kWh,ioniq_5_N
디 올 뉴 싼타페,HYUNDAI,"3,546~5,140만원",2023.08~,중형SUV,"가솔린, 하이브리드",9.4~15.5km/ℓ,santafe
