MODEL,BRAND,AREA,TYPE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
디 올 뉴 그랜저,HYUNDAI,0,준대형,9118,9815,10916,9997,11581,11528,8531,8820,8159,8192,7980,8410,113047
디 올 뉴 싼타페,HYUNDAI,0,중형SUV,0,0,0,0,0,0,0,550,4329,7946,8657,7627,29109
포터2,HYUNDAI,0,소형트럭,6578,6227,7422,6183,5576,5745,5410,4616,4441,6171,7849,5658,71876
더 뉴 아반떼,HYUNDAI,0,준중형,0,0,6536,5243,6556,5298,4000,4595,4146,4886,5713,4990,51963
쏘나타 디 엣지,HYUNDAI,0,중형,0,0,0,0,1729,2951,2142,2600,2540,4546,4574,4855,25937
캐스퍼,HYUNDAI,0,경차,3070,3164,3248,3420,4064,3900,3706,3804,3705,3648,5701,4021,45451
더 뉴 투싼,HYUNDAI,0,중형SUV,0,0,0,0,0,0,0,0,0,0,0,3588,3588
스타리아,HYUNDAI,0,대형MPV,2951,3416,3980,3407,3567,3501,3242,2940,2633,3265,3342,3536,39780
팰리세이드,HYUNDAI,0,대형SUV,3922,3539,4820,4096,3553,3164,3264,3752,2935,2825,3157,2066,41093
디 올 뉴 코나,HYUNDAI,0,소형SUV,620,3127,4747,4023,2448,2470,2400,2340,2293,2597,2777,1900,31742
버스/트럭 (현대),HYUNDAI,0,대형버스,1107,715,1694,1066,1524,1574,1275,1276,1166,1379,1418,1209,15403
아이오닉 5,HYUNDAI,0,중형SUV,76,1911,1701,2123,2396,1297,1350,1061,612,1376,1669,763,16335
베뉴,HYUNDAI,0,소형SUV,646,492,526,449,511,952,546,904,771,1182,776,526,8281
마이티,HYUNDAI,0,중형트럭,284,211,585,523,686,681,611,654,614,705,679,524,6757
포터2 일렉트릭,HYUNDAI,0,소형트럭,13,4872,2860,2885,2485,2505,3260,1371,1340,2407,1406,395,25799
쏘나타 뉴 라이즈,HYUNDAI,0,중형,996,1012,1230,1603,901,1162,673,401,407,303,321,310,9319
카운티,HYUNDAI,0,소형버스,90,174,165,150,156,190,145,144,158,163,241,257,2033
디 올 뉴 코나 일렉트릭,HYUNDAI,0,소형SUV,0,0,0,0,64,664,238,355,208,337,432,212,2510
아이오닉 6,HYUNDAI,0,중형,23,1632,2200,1316,1117,491,488,400,344,472,618,183,9284
